user_id,gender,age,occu,is_student
3447369,0,17,indUnk,
3448540,1,17,indUnk,
3451587,0,48,indUnk,
3454992,0,33,Technology,0.0
3460713,1,17,Arts,0.0
3463044,1,37,indUnk,
3466740,1,23,indUnk,
3469176,0,17,Engineering,0.0
3469665,1,23,Military,0.0
3471727,1,24,indUnk,
3471740,1,27,RealEstate,0.0
3471824,1,16,Student,1.0
3473164,1,25,indUnk,
3478510,0,16,Student,1.0
3479211,1,27,Advertising,0.0
3481803,0,16,Student,1.0
3482303,1,33,indUnk,
3483901,1,23,indUnk,
3487773,1,24,indUnk,
3494693,1,23,Student,1.0
3495545,0,26,indUnk,
3500159,1,37,Education,0.0
3503201,0,27,indUnk,
3504445,1,15,Student,1.0
3505043,1,26,indUnk,
3515252,1,27,Education,0.0
3522772,1,27,Government,0.0
3525639,1,24,LawEnforcement-Security,0.0
3538351,1,17,indUnk,
3539593,0,23,Technology,0.0
3541469,0,13,indUnk,
3542735,0,26,Advertising,0.0
3544826,1,37,Fashion,0.0
3545726,1,16,Student,1.0
3546432,1,47,Consulting,0.0
3549714,1,24,Education,0.0
3556371,0,13,Student,1.0
3558648,0,34,Internet,0.0
3558845,1,26,indUnk,
3558872,1,47,Education,0.0
3558898,0,26,indUnk,
3568011,0,16,Student,1.0
3569188,1,14,Student,1.0
3572119,1,17,Arts,0.0
3576839,0,27,Military,0.0
3577655,1,17,indUnk,
3586100,1,24,Education,0.0
3590380,1,37,Government,0.0
3596192,0,40,Technology,0.0
3599631,0,24,Technology,0.0
3599758,0,24,Non-Profit,0.0
3600967,1,33,Arts,0.0
3601621,0,23,indUnk,
3602089,0,15,Student,1.0
3605346,1,25,Government,0.0
3607694,1,23,indUnk,
3613005,0,15,indUnk,
3616679,1,47,indUnk,
3624333,1,37,indUnk,
3626700,1,15,Student,1.0
3631998,0,25,Technology,0.0
3639495,1,24,Education,0.0
3642942,0,37,Consulting,0.0
3644724,1,36,indUnk,
3646377,0,25,Sports-Recreation,0.0
3646978,1,35,indUnk,
3647581,0,17,Student,1.0
3650032,0,25,Education,0.0
3654666,0,24,indUnk,
3655173,0,26,Law,0.0
3659024,0,34,Technology,0.0
3661106,1,16,Student,1.0
3661997,1,13,indUnk,
3663701,1,27,Communications-Media,0.0
3667102,1,46,Law,0.0
3668030,1,23,Student,1.0
3670354,0,17,indUnk,
3673414,0,14,Student,1.0
3674747,0,16,Student,1.0
3677153,0,15,indUnk,
3683867,1,24,Student,1.0
3685554,0,14,Student,1.0
3693380,1,14,Fashion,0.0
3693954,1,14,Internet,0.0
3699072,1,23,indUnk,
3699086,0,16,indUnk,
3700421,1,24,Science,0.0
3700686,0,27,Technology,0.0
3715376,1,17,Student,1.0
3716795,0,16,indUnk,
3719233,0,37,indUnk,
3721842,0,23,Student,1.0
3722603,0,16,Arts,0.0
3723398,0,25,Technology,0.0
3723475,1,15,Student,1.0
3729846,0,17,Student,1.0
3732159,0,27,indUnk,
3732960,0,17,Student,1.0
3735538,0,14,Student,1.0
3735544,1,13,Student,1.0
3736053,0,24,Arts,0.0
3737807,1,17,indUnk,
3738552,0,23,Telecommunications,0.0
3752323,0,24,Science,0.0
3753470,0,15,Student,1.0
3757297,1,27,Student,1.0
3759734,1,27,Student,1.0
3764220,1,14,Student,1.0
3766692,1,17,indUnk,
3767000,1,15,Student,1.0
3767918,0,15,Technology,0.0
3769478,0,24,indUnk,
3771600,1,14,Student,1.0
3771668,0,25,Automotive,0.0
3779062,1,24,indUnk,
3780716,1,17,Student,1.0
3785275,1,26,indUnk,
3792732,1,26,indUnk,
3802511,1,25,indUnk,
3805349,0,14,Student,1.0
3808913,1,25,Arts,0.0
3810203,1,13,indUnk,
3811749,1,26,indUnk,
3813860,1,24,indUnk,
3816360,1,23,Non-Profit,0.0
3816397,1,42,Technology,0.0
3818197,1,25,Student,1.0
3818324,1,17,Fashion,0.0
3819051,0,14,Student,1.0
3821176,1,42,Education,0.0
3823807,1,14,indUnk,
3826242,0,42,indUnk,
3829063,0,23,indUnk,
3835812,1,47,Non-Profit,0.0
3835889,0,17,Student,1.0
3847790,1,36,indUnk,
3849830,0,13,Student,1.0
3851365,1,45,Education,0.0
3851875,1,34,BusinessServices,0.0
3855724,1,34,Education,0.0
3857776,1,13,indUnk,
3860954,1,17,indUnk,
3866526,0,26,indUnk,
3870139,0,16,Student,1.0
3870574,0,17,Student,1.0
3873570,1,34,Education,0.0
3875285,1,43,Education,0.0
3877108,1,27,Student,1.0
3879492,0,14,Student,1.0
3881689,0,44,indUnk,
3886562,0,23,Student,1.0
3893150,0,16,Student,1.0
3893735,0,17,Student,1.0
3894428,1,17,indUnk,
3903607,1,25,Law,0.0
3907107,0,15,Student,1.0
3911122,1,13,indUnk,
3923707,1,15,Student,1.0
3924062,0,17,Non-Profit,0.0
3929371,1,23,Science,0.0
3930072,1,17,indUnk,
3931951,1,16,Student,1.0
3936941,0,26,Consulting,0.0
3948533,1,41,indUnk,
3950869,1,17,Student,1.0
3952263,1,13,indUnk,
3958372,1,33,Communications-Media,0.0
3959121,1,15,indUnk,
3966870,0,23,Technology,0.0
3969341,1,14,Student,1.0
3972268,0,17,Science,0.0
3972276,0,17,Education,0.0
3972921,0,35,Technology,0.0
3976084,0,17,indUnk,
3977680,1,16,indUnk,
3983686,1,27,Non-Profit,0.0
3984458,0,17,Science,0.0
3990427,1,25,Banking,0.0
3990866,0,23,Internet,0.0
3991108,1,17,indUnk,
3991209,1,14,Student,1.0
3992091,1,26,indUnk,
3992553,1,23,indUnk,
3993587,0,17,Agriculture,0.0
3994011,0,38,Government,0.0
3994464,1,36,Consulting,0.0
3998459,1,23,Student,1.0
4008161,1,17,indUnk,
4008193,1,17,Student,1.0
4015298,1,42,indUnk,
4022192,1,17,Student,1.0
4022853,0,17,Student,1.0
4023489,1,25,indUnk,
4024747,1,24,indUnk,
4027311,0,39,Technology,0.0
4033738,0,13,Student,1.0
4038842,0,26,indUnk,
4039381,0,24,Consulting,0.0
4040811,1,23,indUnk,
4042056,1,15,Arts,0.0
4042287,1,17,indUnk,
4043476,0,15,Student,1.0
4043736,1,23,Arts,0.0
4045197,1,17,indUnk,
4049195,0,17,Student,1.0
4052167,1,35,Education,0.0
4052552,0,16,indUnk,
4053312,1,33,Architecture,0.0
4055095,0,33,Government,0.0
4055499,1,24,Student,1.0
4056798,1,14,Student,1.0
4058677,0,25,Advertising,0.0
4060812,1,17,indUnk,
4060980,0,16,indUnk,
4061665,0,25,Advertising,0.0
4067087,1,39,Education,0.0
4072259,1,24,indUnk,
4074186,0,25,indUnk,
4075287,0,15,indUnk,
4075308,1,15,Student,1.0
4077627,0,44,Telecommunications,0.0
4078761,1,35,Religion,0.0
4082385,0,26,indUnk,
4086028,0,17,Student,1.0
4095362,1,16,Education,0.0
4097182,1,17,Student,1.0
4100455,1,24,Religion,0.0
4102045,1,17,indUnk,
4103386,0,13,Student,1.0
4105180,1,15,Student,1.0
4108638,0,25,Student,1.0
4109605,1,15,Student,1.0
4110791,0,17,Student,1.0
4116584,0,16,Museums-Libraries,0.0
4121917,1,15,Student,1.0
4122908,0,16,Arts,0.0
4125847,1,27,indUnk,
4127797,0,25,Student,1.0
4127857,1,17,Student,1.0
4128156,0,47,Consulting,0.0
4128797,0,27,Technology,0.0
4129418,1,34,indUnk,
4129852,0,17,Student,1.0
4132315,0,15,indUnk,
4138081,0,17,Marketing,0.0
4142807,1,17,Student,1.0
4149935,0,15,Student,1.0
4150492,1,24,RealEstate,0.0
4151531,0,25,indUnk,
4151959,1,14,indUnk,
4152098,0,26,indUnk,
4154216,1,44,indUnk,
4162455,0,40,Internet,0.0
4162840,0,17,indUnk,
4163223,0,23,Technology,0.0
4166300,0,17,Student,1.0
4168492,1,36,indUnk,
4168699,0,15,Student,1.0
4170329,1,23,Education,0.0
4170570,1,25,indUnk,
4176051,1,45,Consulting,0.0
4176133,1,14,Student,1.0
4179297,1,27,Government,0.0
4184069,1,27,Museums-Libraries,0.0
4184856,0,14,Non-Profit,0.0
4185342,1,23,indUnk,
4186455,0,27,Arts,0.0
4188274,1,16,Student,1.0
4189257,0,25,Religion,0.0
4190982,0,17,Engineering,0.0
4198810,0,27,indUnk,
4200309,0,27,Communications-Media,0.0
4201404,0,27,indUnk,
4204123,1,16,indUnk,
4206637,1,24,Communications-Media,0.0
4210644,1,14,Student,1.0
4210703,0,26,indUnk,
4213470,0,13,Student,1.0
4213837,0,16,Education,0.0
4213897,1,40,Non-Profit,0.0
4216034,0,37,Technology,0.0
4216577,1,38,indUnk,
4218355,0,24,indUnk,
4219169,1,14,Student,1.0
4220141,1,15,indUnk,
4220994,1,25,indUnk,
4221834,1,24,indUnk,
4224299,1,17,Fashion,0.0
4224651,0,25,Technology,0.0
4225684,0,17,Student,1.0
4227371,1,24,indUnk,
4227656,1,23,indUnk,
4231133,1,13,indUnk,
4231869,1,17,indUnk,
4235996,0,15,Student,1.0
4236023,0,17,Student,1.0
4238006,0,16,indUnk,
4238152,0,14,Student,1.0
4238678,1,13,Student,1.0
4239436,0,17,Technology,0.0
4240336,1,17,Student,1.0
4242609,0,16,Student,1.0
4256858,0,25,indUnk,
4256898,1,15,Student,1.0
4256976,0,24,indUnk,
4257430,1,16,Student,1.0
4259479,0,17,RealEstate,0.0
4261141,0,15,Student,1.0
4263309,1,48,Fashion,0.0
4264876,1,15,indUnk,
4271040,1,15,Student,1.0
4271205,1,26,indUnk,
4280767,1,16,Student,1.0
4284264,0,27,Telecommunications,0.0
4285920,0,24,Education,0.0
4287218,1,26,indUnk,
4288065,1,40,indUnk,
4293254,1,16,Student,1.0
4311120,1,25,indUnk,
4312005,0,17,indUnk,
4312209,1,16,indUnk,
