message_id,user_id,date,created_time,message
25676,446275,"15,May,2004",2004-05-15,"    I was reading a printed version of Fox News the other day and I heard of terrible atrocities being commited in our great nation.  By liberals.    The gays are marrying each other in Massachusetts; Kansas, the one state that anybodyin the old days could rely on for good, old-fashined conservative behaviour, voted AGAINST an amendment banning gay marriage, and all of the United States is in shambles.  Because of the liberals.  That John Kerry character is trying to defeat our Great Lord and War Hero, George W. Bush.  If that isn't the darndest thing then I just don't know what is.  George W. Bush stood up to those damn Iraqi terrorists that caused Septemeber 11th (along with the homosexuals, of course) and those Islamics deserve waht they got from our noble American forces in the Middle-East. They got nothing more or less than what they deserved.  Let's not forget that they brutally chopped off the head of one of our Americans AND bombded our World Trade Center.  Everbody who is anybody knows that this Kerry monster is a fraud, anyway.  He THREW his medals at the WHITE HOUSE to protest the VIETNAM WAR.  But, you know, he was greedy and didn't really throw the medals that he'd earned (earned by lying and cheating, that is.  unlike our George W. Bush who wanted the war in Viet-Nam) he threw copies of the medals or just the ribbons.  Waht a fraud.  He makes me sick.  That Kerry bastard.    Wow, I was listening to the radio today and some of that music should really be banned.  It's just profane.  I dont see how anybody can be allowed to listen to it.  All of their euphamisms for the private parts of males and females just makes me uncomfortable.  Plus, all of that Satanic music (rock, rap, metal) really is quite offensive.  Next teenagers will stop going to church like I do every three days.    Then our country will really go downhill.  Love forever, Anastasia (me@ithinkso.org)   "
16774,483266,"17,May,2004",2004-05-17,"   Well, another year ticks on and I make it to 33! WOW - Where has the last year gone ?  I know that the last 48 hours for me has been quite full on ! Started on Friday with my birthday - It was nice, thanks Tina and co :-) A nice easy transition into 33.  Saturday was then another memorable day. Why ? Well it was my leaving do from my current work place. A nice evening with friends from the ward at Gino's Italian pizza restaurant.  Thanks to: Nikki, Mandy, Karen, Marie, Mary, Helen, Margs, Tracey, Lisa and Wayne all for coming - and thanks to everyone else on the ward for their time, support and encouragement - Cheers :-)  Sunday was then a lovely day out to the sun and a trip to the Torquay region of Devon. Was so nice, thought I would include some photos taken on the day:    The village of Cockington    Brixham Harbour - 1    Brixham Harbour - 2  What a lovely day out - TOP. Went with my Mum and wife :-)  Then onto today !! First day of my new job.  An induction week which kicked off with the annual drug update :-/  And that was my weekend :-)  "
16775,483266,"13,May,2004",2004-05-13,"   Well, my new job is looming on Monday, and far be it from me to not make an effort. As my hair was getting rather long, I decided it was time for a crop.  The last two hair dressers have closed since I started visiting them (not sure if there is a connection there) so I tracked down a new one to try.  Whilst sat in the chair, I thought - what the hell!! Lets get radical. My old friend Mr Rudd always has his cropped and chopped, so I thought I would give it a go. The hair dresser then informed me that you can now get a grade 8 trimmer which was quite popular in today's trends.  So I went for it: Grade 8 all over the top and grade 3-4 at the back. You judge for yourself.    Before    After  "
16776,483266,"12,May,2004",2004-05-12,"   Anyone that owns an XBOX and knows a little bit about the current E3 computer fair will be as excited as I am about the new Halo 2 Multiplayer video available to watch.     Not seen it? Trust me, it's AWESOME !  "
16777,483266,"12,June,2004",2004-06-12,"   Well - it's finally happened.  We're gonna have a baby :-)  Ye haww !!  Sometime of just yet. For those that know me, keep an eye on the bump blog for the latest details.  COOL !  "
16778,483266,"01,June,2004",2004-06-01,"   After rushing across Exeter in the mad rush hour traffic, I finally made it to the Odeon to go watch The Day After Tomorrow.  Bugger !  Sold out - So next on the list was the latest Harry Potter movie, the one where someone escapes from a prison.  I'm not sure if it was because I was looking forward to the other movie but to be honest, I found the movie kinda boring !  It didn't really grab my attention, and seemed really blank and drawn out in places. There are some nice special effects, especially I thought the moving tree and the horse come chicken come bird creature.  None the less, there was nothing ground breaking just more of the same but done better.  Still, at least I have TDAT to look forward to still :-)  "
16779,483266,"01,June,2004",2004-06-01,"   For me, someone who can't help but take things apart, it was only a matter of time before my XBOX got taken apart. Now I've done it I'm even more excited than before. The potential is huge !!  That little buty could be re-built into anything - only my imagination is the limit !!     Compact little bugger ain't she ?      Why! It's a PC in a box, crying to be modded !   I'll post any pics of final systems.  "
6037,734023,"03,June,2004",2004-06-03,"   Boredo...     Tired? Grab a blogger...    Yep. I am SO freakin' bored it ain't funny. I mean, I need something to do really really bad. My sis wants to use the comp so I can't type much. I think. But, anyway, I'm gonna be going to the store w/ my mom so I can't really type much. So, I need to take a shower. Isn't that grosse? It's almost 6:00 p.m. and I haven't taken a shower yet...(ok...maybe I shudn't hav sed that). But, I dunno. I called my buddy P-bear (the nick my friend Alescia made 4 him) and he wudn't home. Ya know, I miss skool. At least then, I actually had something to do. Ugh. Now I'm just sittin' next to this freaking 1984 edition comp that's about to break down. I need a life. I NEED some friends. *sigh I NEED 2 take a shower. For god sakes, I'm a GIRL! hehe. Well, I wonder if my P-bear called me back. Most likely, he didn't. He was out playin' basketball w/ his cousins. *sigh...everything is gonna be A-O-K (you have 2 read that in letter form 2 get it)         So...gotta go...     Yes...I'm going to the store with my sis and mom. UGH! Who likes going to the grocery store w/ family? Not me. I'm tired and cicadas are swarming in my tree in front of the house. I'll try to blog lata. Otha than that...I'm out. Peace 2 the Mid-East. That is, if u live in the Mid-East...uhh...yea.  "
6038,734023,"03,June,2004",2004-06-03,"   Summer fun!  Yes...yes...it's about time isn't it? Haha. Well, I'm actually really bored as you can entirely see. It's 2:00 in the morning and I felt the need to uncover my bloggy from it's ruins and ya know...type. Type, type, type. I think I've had enough of it. I mean, school is enough. Sheesh.    Introduction    I feel the need to introduce myself. Well, since many of you out there in the world don't know me. I'm 13 years old and my nickname is Nichi (nee-chee). You can just call me that for now since you really don't need to know my real name. I live in Ohio and yes, it's the year of the cicada and they're going strong. Now, they're asleep. I can't hear any of them. My birthday is July 17, 1990 which means I'm turning 14 next month! Yay! (it's really not all that) My sn for aim is  lilnichi717  so you can im me sumtime if you'd like. I have a website and it's called  urlLink Kawaii Kutie . So, please go there sumtime. Right now, I'm on hiatus but, you can keep posting back with it. Um...if you know html, photoshop, php, etc. I need you. I mean, I need as many ppl as I can get to help me w/ my site. But, I just don't know where I can go to get help. So, if you think you can help please aim me.    Scary...     Ok...it's really quiet down here. So, I can hear footsteps and things everywhere. I am SO PARANOID right now. I mean, I keep thinking somebody's going to rampage through my house and hurt me. Or something...me afraid...me VERY afraid. But, since I have you I'm not scared anymore. [If ANYTHING happens to me...they did it. Also, I ain't never scared. lol ^-^] Well, I'm gettin' sleepy (and scared) so I'm gonna go to sleep. I'm gonna be gettin' a new layout for my blog sumday. I dun really like these. I luv ya ppl!  "
6039,734023,"09,June,2004",2004-06-09,"   Music...     Srry bout the non-bloggin' me...    Hey everybody! I'm sorry I haven't been bloggin' lately. It's just, I really need this book called ""Girl in Hyacinth Blue"" by Susan Vreeland. It's my 9th grade summer reading book and guess what? I don't have it. And if I don't get it soon then I'm gonna be in scads of trouble...ugh! Somebody please help me! *sigh...poor nichi.     Kawaii Kutie     Ok. I need to pick a layout for  urlLink kawaiikutie.tk . I mean, I have so many possible layouts. Then, the html and the rest of the crap that I need to do for my site to be really good. So, yes, I have been working on it. I would put up some pics showing the so-so layouts I've made but I'm kinder lazy. hehe. But, we'll just see what happens. Ya never know. So...I gotta go cause' ""Last Comic Standing"" is coming on in a few. I absolutely LOVE that show! It's literally hilarious! Love ya peoples! (O.o)  "
197,791840,"11,September,2002",2002-09-11,"    >  This is not my blog, it's from yahoo.com  >As many of you know, I recently relocated to Florida.  As part of >getting my life back in order, I found and went to a new primary care >physician.  While discussing my medical history in detail with this >doctor, I brought up my history of ADD.  I was flabbergasted to hear >the doctor respond by saying that he didn't believe that ADD was a >real disorder, but rather one that was created in the late 60's and >early 70's to account for those that just couldn't deal with hard >work and discipline. Further, he said that it took a doctor with real >guts to prescribe a methamphetamine-based stimulant to anyone, let >alone someone who couldn't focus on their responsibilities. > >Yes...I was ready to strangle this guy.  Instead, I spent the next 5 >minutes rattling of information, research, web addresses and relevant >anecdotes to try and convince this guy that there was more to this >story than his perceptions of laziness. > >I don't think I got through.   Anyone else run into this before? > >BIG > >hey big this is mickey, and i have had a similar sun in with a pediatrician with my daughter. i  found a new one and got her back on track. this was after extensive testing  through her psych and documentation of add, depression, bouts of anxiety and  ptsd too. so it does happen and i just looked until i found someone who  actually cared about my daughter and her problems. good luck in your search  and your move. hugs, mickeymouse > >________________________________________________________________________ >________________________________________________________________________ > > > >Your use of Yahoo! Groups is subject to http://docs.yahoo.com/info/terms/ > >     _________________________________________________________________ MSN Photos is the easiest way to share and print your photos:  http://photos.msn.com/support/worldwide.aspx    ________________________________________________________________________ ________________________________________________________________________  Message: 2    Date: Tue, 25 Jun 2002 23:24:44 -0000    From: ""ryan1978_48415""   Subject: Re: Digest Number 33  Oh my goodness I remember on ICQ well anyways I happen to be Vegan  nowadays but this one girl who was Vegan and later went back to Lacto- Ovo Vegetarian sent me an IM back when she was Vegan and I was Lacto- Ovo Vegetarian I had I dunno how many conversations with her but last  time we chatted and I mentioned about me having Autism and ADHD she  said that she didn't believe there was any such thing as ADD and that  she believes the Capitalists made that up to make money or whatever  she did end up admitting that she didn't know much about Autism  though after she was offline and I sent her a long note.I decided to  remove her from my ICQ friendlist later on cause as far as im  concerned the ignorant might as well swallow their words up.Oh my  goodness I also remember this one Canuck that I have chatted with(I  have a little bit of Canadian heritage myself so I am entitled to say  Canuck)anyways when I had made mention of where I pointed out the  fact that I am sure that i'd know what to do if I do pass Autism or  anything else to my future kids this Canuck called me Cruel or  something I tried getting her to open her eyes but she's obviously an  ignorant and prejudice type of person.I was actually in an Autism  Chatroom that same time she didn't realize I was there but I asked  people in the room including the Boss of the room what I should say  to the ignorant person and finally I just said to her I Hope God  Forgives you for what you've done she then said thanks and then she  said""Let's not bring God into this""I immediately decided that I  definately don't wanna talk to her no more.Ya know what though I am  left to wonder what if she actually has kids in the future and one of  em is an Autistic kid is she gonna tell that kid that it would be  cruel of him/her to have kids?   --- In ADD_Couch@y..., ""Gina Goodman""   wrote: >  >  >  > >From: ADD_Couch@y... > >Reply-To: ADD_Couch@y... > >To: ADD_Couch@y... > >Subject: [ADD_Couch] Digest Number 33 > >Date: 25 Jun 2002 09:52:42 -0000 > > > > > >To unsubscribe from this group, send an email to: > >ADD_Couch-unsubscribe@y... > > > > > >------------------------------------------------------------------- ----- > > > >There is 1 message in this issue. > > > >Topics in this digest: > > > >       1. A run-in with my primary care physician... > >            From: ""biganburly""   > > > > >  >_____________________________________________________________________ ___ >  >_____________________________________________________________________ ___ > > > >Message: 1 > >    Date: Mon, 24 Jun 2002 15:08:11 -0000 > >    From: ""biganburly""   > >Subject: A run-in with my primary care physician... > > > >As many of you know, I recently relocated to Florida.  As part of > >getting my life back in order, I found and went to a new primary  care > >physician.  While discussing my medical history in detail with this > >doctor, I brought up my history of ADD.  I was flabbergasted to  hear > >the doctor respond by saying that he didn't believe that ADD was a > >real disorder, but rather one that was created in the late 60's and > >early 70's to account for those that just couldn't deal with hard > >work and discipline. Further, he said that it took a doctor with  real > >guts to prescribe a methamphetamine-based stimulant to anyone, let > >alone someone who couldn't focus on their responsibilities. > > > >Yes...I was ready to strangle this guy.  Instead, I spent the next  5 > >minutes rattling of information, research, web addresses and  relevant > >anecdotes to try and convince this guy that there was more to this > >story than his perceptions of laziness. > > > >I don't think I got through.   Anyone else run into this before? > > > >BIG > > > >hey big this is mickey, > and i have had a similar sun in with a pediatrician with my  daughter. i  > found a new one and got her back on track. this was after extensive  testing  > through her psych and documentation of add, depression, bouts of  anxiety and  > ptsd too. so it does happen and i just looked until i found someone  who  > actually cared about my daughter and her problems. good luck in  your search  > and your move. > hugs, > mickeymouse > > >  >_____________________________________________________________________ ___ >  >_____________________________________________________________________ ___ > > > > > > > >Your use of Yahoo! Groups is subject to  http://docs.yahoo.com/info/terms/ > > > > >  >  >  >  > _________________________________________________________________ > MSN Photos is the easiest way to share and print your photos:  > http://photos.msn.com/support/worldwide.aspx    ________________________________________________________________________ ________________________________________________________________________  Message: 3    Date: Wed, 26 Jun 2002 00:27:00 -0400 (EDT)    From: Constance SChlievert   Subject: Re: A run-in with my primary care physician...    Hi Big, yes as a matter of fact i have run into this in dealing with my own family's care, I know this is  hard to deal with a physicain in this manner and all i can offer you is this. Do not waste your  time wth him, He is obveously to lazy and uneducated to deal with the fact that add/adhd is real.  Get yourself another physician. you may even want to research the physicians a bit, before you make  a choice. I actually recieved a letter from a physician  at the center concerning one of the kids   that i get in the mornings saying the same darn thing. Yes dealing with people especialy  physicians can make us very angry, I have been struggleing with  a few here for a while you just can not get through. i have learned they are just not worh the  argument.   biganburly   wrote: As many of you know, I recently relocated to Florida.   As part of  getting my life back in order, I found and went to a new primary care  physician.  While discussing my medical history in detail with this  doctor, I brought up my history of ADD.  I was flabbergasted to hear  the doctor respond by saying that he didn't believe that ADD was a  real disorder, but rather one that was created in the late 60's and  early 70's to account for those that just couldn't deal with hard  work and discipline. Further, he said that it took a doctor with real  guts to prescribe a methamphetamine-based stimulant to anyone, let  alone someone who couldn't focus on their responsibilities.  Yes...I was ready to strangle this guy.  Instead, I spent the next 5  minutes rattling of information, research, web addresses and relevant  anecdotes to try and convince this guy that there was more to this  story than his perceptions of laziness.  I don't think I got through.   Anyone else run into this before?  BIG   To unsubscribe from this group, send an email to: ADD_Couch-unsubscribe@yahoogroups.com    Your use of Yahoo! Groups is subject to the Yahoo! Terms of Service.     --------------------------------- Post your ad for free now! Yahoo! Canada Personals   [This message contained attachments]    ________________________________________________________________________   "
198,791840,"10,September,2002",2002-09-10,"    As well, please enjoy the great feeling of stating your own opinion without feeling that you are being watched...there is good security in this.   "
199,791840,"10,September,2002",2002-09-10,"    This is a Blog for the Green Family to keep in communication with each other. Please use the site for communication in the family.   9/10/2002 6:45:46 PM | Stephen Olson] Well today I was at Dr. Dwyer's and managed to do some real good work with feeling accomplished. Also Richard from the CCA took me to Granville Street and Broadway to try to get into the new course through the Vancouver School Board. This is to complete the grade 11 math that I have to complete and it's better to do this in a structured setting. All I really need is to get a transcript from the Counselling office and then mange to give this to the 41st and Fraser location the John Oliver school location.   Things that are not right for me:   1. I sometimes have difficulty with defensiveness.   2. I do have trouble with relationships that are close to me, intimacy.   3. I have trouble with working with people who are close to me intimatly.   4. I have trouble with personal awareness many times.   5. I feel that I have to ask questions to feel at ease with others so that they will accept me and so that I will stay in their boundries.   6. Taking risks is difficult for me sometimes.   7. Feeling comfortable with others has always been a challange, and sometimes doing the basic requirements of life is difficult for me.   8. Sometimes I have trouble with procrastination with things that I don't want to do.   9. Budgeting and future planning is a challange for me.   10. Organizing is fine if I have the tools to do so, and time planning usually is the most difficult because it takes the most time to do.   11. I have difficulty using the telephone correctly sometimes esp. when it comes to personal converstaions with family.   12. I find myself being very able to handle a restricted lifestyle, but when it comes to a more complexities I tend to run into problems.   13. I find knowing and using skills that I have already quite enjoyable but learning new skills seem to take time developing, especially person to person skills.   I have to say to Mom that, I need to claim my independence of family even though I am almost 40 years of age at the moment.  Mom, you have done this yourself, and have continued to do this over time. I on the other hand have a non-grown child inside of me that is not fully a developed child.   My child's development has been stiffled by the fact that I have been put in a protected environment, and the outside world has not had any way of getting to me for a long time. So obviously I could not learn about this world since I was apart from it.  My difficulty now is that I need to know more about this world and understand more fully what this world means to me personally.   Inside my confidence has not grown in the world, since I was not in the world but kept apart from the world. You, Mom, have claimed your independence, and are a fully developed adult, and I need the chance to become one myself. I am just now comming to the point where I am comming out of the house emotionally as an adolecent.   This is a very crutial point.   I can feel shure and say that I feel reall good that this time has come. I now have to learn about the world around me much more than  others who are already fully developed adults.   Yes, I have asked for help from you, Mom, and asked you to be my coach, but you have to understand something. A child does whine, and cry when they are not feeling safe and a teenager does go against the wishes of their parents. I never really rebeled, I never really stated my independence from you.   I feel that I need to claim this independence, and state my position and claim my individualness as every adult has done.  I understand that nobody really rebells outrightly most of the time but they do claim their space and their own area of personal development.  You already know that I am very independent, and have always been independent and have had a hard time being together with another person because of my need for freedom.  This need for freedom, is very important for me.  I need to feel free enough to be able to state myself, and be free thinking.  As well as this motion is very important to me.  I need to be able to get away from things physically, and exert energy to this end.    I also need to have home as a place of rest and relaxation, and a place to get away from the world and escape into my own reality.  I ask for your help, and for Ron's, but I need this in moderation.  The problem for me is figuring out what moderation is.  What I need help with is finding out the middle ground, and the moderate.  I tend to do the extream thing whatever it may be. I tend to go beyond what is normal, and I don't do enough of what is within the boundries of normal.  The idea here generally is that I need to be moderated, but in a way that is not so direct maybe.   "
200,791840,"12,November,2003",2003-11-12,    urlLink Vancouver Community College - News & Events   
